操作,機能,意図,type,カイゼン案,実装済みコピー,要調査
一括処理受け付け,,"[""ダウンロード"",""一括処理""]",Title,#{job_name}を受け付けました,#{job_name}を予約しました,
一括処理受け付け,,"[""一括処理""]",Message,"処理が完了したら、メールならびに右上の通知欄からお知らせします。
進捗状況は バックグラウンド処理 からご確認いただけます。
一部の操作は、処理が完了するまで実行できません。
","処理が完了しましたら、メールにてお知らせいたしますので、しばらくお待ちください。
%br
進捗状況は
= link_to 'バックグラウンド処理一覧', admin_job_histories_path
からご確認いただけます。
",
ダウンロード受け付け,,"[""ダウンロード""]",Message,"ファイルの準備ができたら、メールならびに右上の通知欄からお知らせします。
進捗状況は バックグラウンド処理 からご確認いただけます。
抽出件数によっては、処理に時間がかかることがあります。","処理が完了しましたら、メールにてお知らせいたしますので、しばらくお待ちください。
%br
進捗状況は
= link_to 'バックグラウンド処理一覧', admin_job_histories_path
からご確認いただけます。
- if with_data
%br
データのダウンロード方法は
= zendesk_button_tag(360026105494) do
こちら
をご参照ください。
%br
なお、処理に1時間以上時間がかかる場合は再度お試しいただくか、状況をお調べしますのでお問い合わせください。",
申請の承認,申請,"[""一括処理""]",Title,申請の承認を受け付けました,申請の承認を予約しました,
申請の依頼,申請,"[""一括処理""]",Title,申請の依頼を受け付けました,申請の依頼を予約しました,
一覧ダウンロード,申請,"[""ダウンロード""]",Title,申請一覧のダウンロードを受け付けました,一覧ダウンロードを予約しました,
申請ダウンロード,申請,"[""ダウンロード""]",Title,申請内容のダウンロードを受け付けました,提出内容のダウンロードを予約しました,
申請の取り消し,申請,"[""一括処理""]",Title,申請の取り消しを受け付けました,申請の取り消しを予約しました,
申請のアーカイブ,申請,"[""一括処理""]",Title,申請のアーカイブを受け付けました,申請のアーカイブを予約しました,
一括処理・ダウンロード受け付け,申請,"[""ダウンロード"",""一括処理""]",Message,"処理が完了したら、メールならびに右上の通知欄からお知らせします。
進捗状況は バックグラウンド処理 からご確認いただけます。","処理が完了しましたら、メールにてお知らせいたしますので、しばらくお待ちください。<br />
進捗状況は、 バックグラウンド処理一覧 からご確認いただけます。",
部署の一括追加,部署,"[""一括処理""]",Title,,部署の一括追加を受け付けました,
部署の一括追加,部署,"[""一括処理""]",Message,"処理が完了したら、メールならびに右上の通知欄からお知らせします。
進捗状況は バックグラウンド処理一覧 からご確認いただけます。","処理が完了できたら、メールならびに右上の通知欄からお知らせします。
<br />
進捗状況は <a href=""/admin/job_histories"">バックグラウンド処理一覧</a> で確認ください。",
全件ダウンロード,部署,"[""ダウンロード""]",Title,,部署の全件ダウンロードを受け付けました,
全件ダウンロード,部署,"[""ダウンロード""]",Message,"ファイルの準備ができたら、メールならびに右上の通知欄からお知らせします。
進捗状況は バックグラウンド処理一覧 でご確認ください。
抽出件数によっては、処理に時間がかかることがあります。","ファイルの準備ができたら、メールならびに右上の通知欄からお知らせします。
<br />
進捗状況は <a href=""/admin/job_histories"">バックグラウンド処理一覧</a> で確認ください。
<br />
抽出件数によっては、処理に時間がかかることがあります。",
ファイル取り込み,給与明細,"[""アップロード""]",Title,,ファイルの取り込みを受け付けました,
ファイル取り込み,給与明細,"[""アップロード""]",Message,,"予約は、ファイルの取り込みの完了後に予約一覧に表示されます。
<br />
処理が完了したら、メールならびに右上の通知欄からお知らせします。
<br />
進捗状況は <ExternalLink href=""/admin/job_histories"">バックグラウンド処理</ExternalLink> でご確認ください。",
全件ダウンロード,給与明細,"[""ダウンロード""]",Title,,給与明細（PDFファイル）の全件ダウンロードを受け付けました,
ダウンロードファイルの書き出しの受け付け（重め）,給与明細,"[""ダウンロード""]",Message,"ファイルの準備ができたら、メールならびに右上の通知欄からお知らせします。
進捗状況は バックグラウンド処理 からご確認いただけます。
抽出件数によっては、処理に時間がかかることがあります。","ファイルの準備ができたら、メールならびに右上の通知欄からお知らせします。
<br />
進捗状況は <a href=""/admin/job_histories""> バックグラウンド処理一覧</a> からご確認いただけます。
<br />
抽出件数によっては、処理に時間がかかることがあります。
<br />
1時間以上経っても処理が終わらない場合は、実行し直すか、カスタマーサポートまでお問い合わせください。状況をお調べいたします。",
従業員情報ダウンロード,従業員情報,"[""ダウンロード""]",Title,従業員情報のダウンロードを受け付けしました,従業員情報のダウンロードを予約しました,
従業員情報ダウンロード書き出しの受付,従業員情報,"[""ダウンロード""]",Message,"ファイルの準備ができたら、メールならびに右上の通知欄からお知らせします。
進捗状況は バックグラウンド処理一覧 からご確認いただけます。
抽出件数によっては、処理に時間がかかることがあります。","処理が完了しましたら、メールにてお知らせいたしますので、しばらくお待ちください。
<br></br>
進捗状況は、
<a href=""/admin/job_histories""> バックグラウンド処理一覧 </a>
からご確認いただけます。
<br></br>
データのダウンロード方法は
<a href=""https://knowledge.smarthr.jp/hc/ha/articles/360026105494"" target=""_blank"" rel=""noopener noreferrer"">
こちら
</a>
をご参照ください。
<br></br>
なお、処理に1時間以上時間がかかる場合は再度お試しいただくか、状況をお調べしますのでお問い合わせください。",
経路設定,申請,"[""エラー""]",Title,,承認者が不足しているステップがあります,
経路設定,申請,"[""エラー""]",Message,,該当するステップを修正して「更新する」を押してください。,
,申請,"[""エラー""]",Title,,承認設定の変更が必要です,
,申請,"[""エラー""]",Message,,"お客様のプランでは承認設定「あり」の申請フォームをご利用いただけません。該当する申請をすべて取り消してから承認設定を「なし」に変更後、申請もしくは申請依頼が可能になります。お手数ですが、管理者にご連絡ください。
</StyledInformationMessage>
<ExternalLink href={path.admin.workflows.index()}>承認設定を変更する</ExternalLink>",
詳細,申請,"[""エラー""]",Title,,この申請には承認者が不足しているステップがあります,
詳細,申請,"[""エラー""]",Message,,"承認者が不足しているステップがあるため、最後まで承認されない可能性があります。
<br />
経路を確認の上、再設定してください。",
詳細,申請,"[""エラー""]",Message,,"承認者が不足しているステップがあるため、最後まで承認されない可能性があります。
<br />
申請経路について管理者に確認してください。",
多段階承認リリース時の闇,申請,"[""エラー""]",Title,"特殊な経緯で出している文言なのでこのままで良しとする
https://smarthr-inc.docbase.io/posts/1464275#%E6%9D%A1%E4%BB%B6%E3%82%B9%E3%83%86%E3%83%BC%E3%82%BF%E3%82%B9%E3%81%8C%E7%94%B3%E8%AB%8B%E4%BE%9D%E9%A0%BC%E4%B8%AD-%E6%89%BF%E8%AA%8D%E5%BE%85%E3%81%A1-%E3%81%AE%E7%94%B3%E8%AB%8B",承認設定の変更が必要です,
多段階承認リリース時の闇,申請,"[""エラー""]",Message,"特殊な経緯で出している文言なのでこのままで良しとする
https://smarthr-inc.docbase.io/posts/1464275#%E6%9D%A1%E4%BB%B6%E3%82%B9%E3%83%86%E3%83%BC%E3%82%BF%E3%82%B9%E3%81%8C%E7%94%B3%E8%AB%8B%E4%BE%9D%E9%A0%BC%E4%B8%AD-%E6%89%BF%E8%AA%8D%E5%BE%85%E3%81%A1-%E3%81%AE%E7%94%B3%E8%AB%8B","お客様のプランでは承認設定「あり」の申請フォームをご利用いただけません。該当する申請をすべて取り消してから承認設定を「なし」に変更後、申請もしくは申請依頼が可能になります。お手数ですが、管理者にご連絡ください。
</StyledInformationMessage>
<ExternalLink href={path.admin.workflows.index()}>承認設定を変更する</ExternalLink>",
詳細｜差し戻しステータス（申請者）,申請,"[""状態を表す""]",Title,,申請が差し戻されました。内容を修正して再度申請してください。,true
詳細｜差し戻しステータス（下位承認者）,申請,"[""状態を表す""]",Title,,申請が差し戻されました、内容を確認してください。,true
詳細｜差し戻しステータス（差し戻し時）,申請,"[""状態を表す""]",Title,,以下の理由で申請を差し戻しました。,true
詳細｜差し戻しステータス（承認者視点）,申請,"[""状態を表す""]",Title,,以下の理由で差し戻しがあった申請です。,true
詳細｜差し戻しステータス,申請,"[""状態を表す""]",Message,,"<StyledHeading type=""subSubBlockTitle"">差し戻し理由</StyledHeading>
<ApproverComment>{confirm.approverComment}</ApproverComment>",
給与明細の取り込み,給与明細,"[""エラー""]",Title,,給与明細の取り込みに失敗しました,
給与明細の取り込み,給与明細,"[""エラー""]",Message,,お手数ですが、 [給与明細の操作] からこの給与明細を削除して再度追加してください。,
部署の並び替え,部署,"[""状態を表す""]",Title,,部署を並べ替え中,
部署の並び替え,部署,"[""状態を表す""]",Message,,"行をドラックアンドドロップすることで部署の順序を変更できます。
<br />
変更が終わったら「完了」ボタンを押してください。",
アクセストークンの発行,アクセストークン,"[""サポート""]",Title,,${createdToken.label}のアクセストークンを発行しました,
アクセストークンの発行,アクセストークン,"[""サポート""]",Message,,"下記のアクセストークンは、必ずこの場でメモするなど、保管をお願いします。
<br />
漏洩防止のため、このアクセストークンの文字列は、再度表示することはできません。
<br />
忘れた場合は、新規発行し直す必要があります。",
給与明細一覧,給与明細,"[""サポート""]",Title,,操作のヒント,
給与明細一覧,給与明細,"[""サポート""]",Message,,"<li>新しい給与明細一覧画面の使い方は、<ZendeskTrigger sectionId=""360004836393"">給与明細＞使い方</ZendeskTrigger>をご覧ください。</li>
<li>確定を解除すると、給与明細の削除やCSVファイルの取り込みができるようになります。</li>
{status === 'published' && (
<li>
給与明細の発行を通知するには、従業員の通知用メールアドレスが設定されている必要があります。
<br />
設定手順は<ZendeskTrigger articleId=""360026263093"">従業員に明細の発行や情報の入力依頼を通知する</ZendeskTrigger>
をご覧ください。
</li>",
詳細｜フォーム入力時,申請,"[""サポート""]",Title,この申請フォームについて,フォームの説明,
詳細｜フォーム入力時,申請,"[""サポート""]",Message,,<span dangerouslySetInnerHTML={{ __html: description }} />（申請フォームの概要が入ってた場合その内容）,
,,[],,,,