name,description,discussion,source,data,order,status,record_id
冗長な日本語を避ける,"ユーザーに簡潔明瞭に伝えるため、「することができる」などの冗長な表現は極力避けましょう。

**例**  
OK：◯◯を確認してください。  
NG：◯◯をご確認いただけますようお願いいたします。

OK：◯◯しました。  
NG：◯◯させていただきました。",https://smarthr-inc.docbase.io/posts/1304668,,,1,done,recUFXbbdViQh0VfF
正しい文法表現を使用する,"使用したことのある表現であったとしても、文法的に誤っていないかを確認して使用しましょう。

例えば、メールや口頭で使用されることが多い「ご参考ください」という表現は文法的には誤りです。正しくは「ご参考にしてください」  
「ご◯◯ください」は「ご利用ください」など、「◯◯する」と言い換えられるときに使用します。",https://smarthr-inc.docbase.io/posts/1304668,,,2,done,rechCKnCrE7PUguTj
常用漢字表にない読み方は使用しない,"常用漢字表にない読み方を「表外読み（表外音訓）」と言います。常用漢字表に掲載されていても、表外読みをする場合は、アプリケーション上での使用は控えましょう。

ただし、マーケティングなどで使用している表現に揃えて、SmartHRとして統一したい場合はその限りではありません。

**表外読みの例**
- 想い　（「思い」を使う）
- 旧い　（「古い」を使う）
",,"文科省の常用漢字一覧表
https://www.bunka.go.jp/kokugo_nihongo/sisaku/joho/joho/kakuki/14/pdf/jyouyou_kanjihyou.pdf",,3,done,reccmFynVx29ydJEd
平仮名にしたほうが読みやすい漢字は平仮名にする,"漢字より平仮名にしたほうが読みやすかったり、普段から平仮名のほうが馴染みがあったりする場合は、平仮名を用いて、[SmartHRのパーソナリティ](https://smarthr.design/foundation/#h2-0)（誠実・ポジティブ・わかりやすい・親しみやすい）を表現します。

一方で、平仮名にしすぎないように注意しましょう。
平仮名にしすぎると、当てはまる漢字が何かを判断する手間が頻繁に発生し、ユーザーに読解の負荷をかけてしまいます。",,"ひらがなで書くべき漢字のまとめ： 企業サイトで使用する「ひらく漢字」「ひらかない漢字」｜コリス
https://coliss.com/articles/build-websites/operations/notational-convention-for-writing.html",,4,done,recWCPX1UhchVaFjO
カタカナ語を用いるときには、まず漢字語での言い換えを検討する,"カタカナ語を一切使用しないことは現実的ではありませんが、安易に使用しないようにしましょう。

カタカナ語は、ユーザーごとに、慣れ・不慣れだけでなく、意味の定義の振れ幅が漢字語以上に大きいという傾向があります。意味の理解が不確かな言葉は、ユーザーのメンタルモデルによって、その時々で都合の良い解釈が生じやすいので、できる限りカタカナ語を使用せず、漢字語で表現します。",https://kufuinc.slack.com/archives/CJX59GJFR/p1640660708293300?thread_ts=1638318584.218500&cid=CJX59GJFR,,,5,done,rec2dXhsgUwiy472Q
敬語を使いすぎない,"敬語表現を多用して、情報が伝わりづらくならないように配慮しましょう。

**例**
OK：◯◯を確認してください。  
NG：◯◯をご確認いただけますようお願いいたします。

OK：◯◯しました。  
NG：◯◯させていただきました。",,https://www.keigoryoku.com/keigo/,,6,done,rec9dReP9sC65CpJU
同じことを複数の表現で説明しないようにする,"同じ意味のものを別の単語や言い回しで表現をするのは避け、用字用語に準拠した表現を使用しましょう。

ただし、ヘルプページなどでユーザーの理解を促すための言い換えに伴う別の表現は、意図的なものなのでその限りではありません。",,,,7,done,recQfsKwJVpXRxlh6
句点（。）を省略する場合,"見出し（Heading）では、「。」は省略します。  
同様に、例を示した場合の、名詞や「など」の後ろでは句点はつけません。

UIテキストでは、それぞれのコンポーネントごとのルールを参照してください。",https://kufuinc.slack.com/archives/CJX59GJFR/p1605150202129600,,,8,done,recn6q5jT7ewW7pZ3
複数の語句を列挙する場合の、読点（、）とナカグロ（・）の使い分け,"列挙の順序に意味があるときは、「、」を使用します。
順序を入れ替えても構わないときは、「・」を使用します。

**使い分け例**
信号は青、黄、赤の順に点灯する。  
信号には青・黄・赤の三色がある。

**具体例**
被保険者整理番号、マイナンバー、基礎年金番号のいずれかが必要です。  
※上記は、CSV形式の算定基礎届を取り込んだ際のエラーメッセージ。CSVの項目（列）を入れ替えできないので「、」を使用。",,出典：数学文章作法 基礎編の「2.4語句」,,9,done,recKGcTEWxvwUk5pp
数字と英単語の前後に半角スペースを挿入しない,"和欧混植の文章内の英単語と、数字の前後には半角スペースは入れずに詰めましょう。

**例**
OK：PDFファイルをアップロード  
NG：PDF ファイルをアップロード

OK：2020年の年末調整  
NG：2020 年の年末調整",,,,10,done,reckxDxz47sBXPu71
記述記号は全角を使用し、前後にスペースは入れない,"記述記号は基本的に全角を使用し記号の前後にスペースは挿入しません。英数字とあわせて表記する場合のみ半角を使用します。

記述記号とは、以下を指します。
- 区切り符　`・`（中点、ナカグロ）、`｜`（バーティカルバー、パイプ）、`：`（コロン）、`／`（スラッシュ）
- 句読点　`、`（読点）、`。`（句点）
- 括弧類　`（ ）`、`「 」` 、`［ ］`、`【 】`
- つなぎ符　`― `（ダッシュ）、`…`（三点リーダー）、`〜`（波線）
- `？`（疑問符）、`！`（感嘆符）

例外として、**3桁以上の数字に使用するカンマ（ , ）、階層構造を表す際の区切り符（ / ，>）、変数を表す波括弧（{ }）は半角**を使用します。

関連する個別ルールは、以下を参照してください。  
[！と？は単独では全角、ペアで使う場合は半角](https://smarthr.design/products/contents/writing-style/#recQiHbJmvR8Ikieq-0)  
[括弧類は「」、［］、【】を使用する](https://smarthr.design/products/contents/writing-style/#recjsU00afnK5o9bV-0)  
[日付、時刻の形式](https://smarthr.design/products/contents/idiomatic-usage/usage/#recwR0nuqmNcXu06t-0)",https://kufuinc.slack.com/archives/CJX59GJFR/p1643955700509219,,,11,done,recrVEn3NYr2AV33o
括弧類は「 」、［ ］、【 】、（ ）を使用する,"文章における強調は鉤括弧`「 」`もしくは隅付き括弧`【 】`を使用し、引用符`“ ”` や二重かぎ括弧 `『 』`は使用しません。  
補足は丸括弧`（ ）`を使用します。丸括弧に限り、全文英語のプレスリリースやWovnでの翻訳結果で半角`( )`を使用します。

関連ルール  
[記述記号は全角を使用し、前後にスペースは入れない](https://smarthr.design/products/contents/writing-style/#recrVEn3NYr2AV33o-0)",,,,12,done,recjsU00afnK5o9bV
三点リーダー（…）は1つでOK,紙の場合、「…」を使用する場合は、2つで1セットとするのが通例とされていますが、Webなのであまり気にせず1つに統一とします。,,,,13,done,recKg5qqClh1TKhM8
"3桁以上の数値には、カンマ（ , ）を入れる","読みやすさの観点から、3桁以上の数値を表記する場合は「,」を入れます。  

また、カンマは数字に合わせて半角を用います。

**例**
1,000,000円、10,000人",https://kufuinc.slack.com/archives/CJX59GJFR/p1612243424065800,,,14,done,recWrkrCQ4Ek9ciTy
変数は{ }を使用する,"環境や設定によって値が変わる変数は、`{ }`を使用します。  

記述記号は全角を使用しますが、例外として、`{ }`は半角を使用します。  

**例**
{会社名}、{サブドメイン}.smarthr.jp",https://kufuinc.slack.com/archives/CJX59GJFR/p1664497034945159,,,15,,rechXk4L1zygiEngj
格助詞をむやみに省略しない,"言葉同士の関係がわかりやすいように、「が」「の」「を」「に」「へ」「と」「より」「から」「で」などの格助詞は省略せずに記載しましょう。

**例** 
OK：項目名を変更します。  
NG：項目名変更します。

OK：操作が完了したら〜   
NG：操作完了したら〜",,,,16,,recbNle5jpZ4jhhD5
条件を示す「場合」「とき」の使い分け,"「場合」と「とき」に大きな違いはありません。1つの文章に、大前提の条件、小前提の条件がある場合は、大前提に「場合」を、小前提に「とき」を使用します。

**条件が1つの場合の例**

- 追加した項目を、従業員に閲覧・更新させたい`場合`、権限の設定が必要です。
- 同じ部署や、その上位部署に所属する従業員を承認者にしたい`とき`に利用します。

**大前提の条件、小前提の条件がある場合の例**

- 従業員がマイナンバーを提供した`場合`でも、被扶養者のマイナンバーを［提出しない］と回答した`とき`は［提供保留中］と表示されます。",https://kufuinc.slack.com/archives/CJX59GJFR/p1672900957446949,,,17,,rec0FtUMzY38mO7Pt